LULING STREETS,LULING REPORTS
1ST ST,"High water Chestnut, Luling and Barton."
2ND ST,"High water, Luling Est. Dr."
3RD ST,"High water, DeSoto pump not on in Coronado."
4TH ST,High water at 137 Birch Street in Luling.
5TH ST,"High water 30 Chestnut, Luling in Luling."
6TH ST,High water 306 Valencia in Cornado.
ACADIAN OAKS DR,Advised of high water at 212 Monsanto and 224 River Point Call Goat out.
ALBANIA DR,high water at La. 18 & Lone Star.
ALICIA CT,"Chestnut St., Luling flooded."
ALLIE LN,"328 Evelyn Dr, Lulling 785-0281; high water."
ALLISON DR,"1048 Luling Estates, Luling 785-8527; high water."
ANGUS DR,High water 64 St Anthony.
ANNIE LN,"714 Milling Ave, 785-6695; high water."
ANTOINE LN,1208 Luling Estates 785-2840; high water.
APARTMENT DR,"306 Courville Dr, 785-7420; high water."
APPLE CT,High water at aprt. Behind SCH. Milling Avenue
ARLINGTON DR,Need baricades on Coronado Dr. due to high water.
ASHLAND DR,"Citizen complaints 392 Barton sewer, Rodrique 764-0632 high water."
ASHTON OAKS LN,High water 900 to 1000 & 1200 Block of Paul Fredrick.
ASHTON PLANTATION BLVD,High water 308 Desoto.
ASHTON RD,High water 110 Birch.
ASPHODEL DR,High water 306 Valencia.
AUGUSTA DR,High water 1040 Luling Estates.
AVERY ST,"High water, want road blocked, 218 Monsanto."
AZALEA CT,High water 397 Marcia.
BADALAMENTI ST,"Barton Ave and tracks, high water."
BALBOA DR,High water 319 Valencia.
BANK ST,High water 319 Hawthorn.
BARRETT DR,"High water Lakewood Dr., Luling"
BARTON AVE,High water Sellers Ave.
BEAUPRE DR,High water Chestnut Pl.
BERNICE DR,"157 Lakewood Dr., Luling High water."
BETHANY DR,100 W. Heather High water.
BIRCH ST,High water 105 Wade.
BLOUIN DR,425 Oak Lane; high water.
BOCAGE DR,High water on Barton Avenue from River Road to the railroad tracks.
BORNE LN,"311 Lakewood Dr., Luling 785-6193; request diesel pump for high water."
BRADEN DR,High water Williams St.
BRADWALL ST,High water 317 Desoto.
BROOKLYN ST,High water in the 100 block of Wade Street.
BROWNING DR,304 Desoto Drive 785-0831; high water.
BURAS ST,High water 226 Cross St.
CAESAR CT,High water 425 Oak Lane.
CAMELLIA CT,High water Luling est. pump not running.
CANAL ST,"1215 Paul Fredrick, 785-9104, high water."
CATHERINE DR,"1012 Kinler St., high water and need sand."
CATHY DR,"1350 Luling Estates, high water, pump is out."
CELIA DR,910 Kinler St. high water.
CHESTNUT PL,1058 Luling Estate water in home. HF
CHOCTAW DR,House flooded 1011 Luling Est. 785-0937. HF
CHRISTINA CT,1052 Luing Est. Dr. 785-0561 HF .
COLLIER DR,1135 Luling Est. Dr. 331-9162.
COLONIAL LN,1114 Luling Est. 331-2065 HF
CORONADO DR,"1046 Luling Est. Dr. 75-4984, Everthing in house wet HF"
COTTAGE DR,"303 Talbot Drive 785-6301, House Flooded HF."
COURT ST,"139 Lakewood Drive, Luling 785-2523; flooding in home(HF)."
COURVILLE DR,804 Luling Avenue 785-2108; roof damage and water in home(HF).
COVE GLEN LN,"206 Santa Cruz Ct, Luling. 785-1571; flooding in home(HF)."
COVE POINTE DR,"High water Lakewood Dr., Luling"
CROSS ST,"429 Willowdale Blvd, Luling high water."
CYPRESS DR,"22 Chestnut, Luling High Water."
DAVID CT,"214 Santa Cruz, Luling High Water."
DAVIS DR,"4th block of Oak Lane, Luling - Flooding"
DEBBIE CT,"Chestnut Dr. Luling, Flooding"
DEBRA CT,"Lakewood Dr., Luling & Apple Ct. High Water."
DEES LN,"High water East Heather, Luling & Albania."
DEPUTY JEFF G WATSON DR,Advised that the lights are flashing on the lift station by Social Concerns & the fire station and it's due to high water. (Luling)
DESOTO DR,"Advised that Ivy Lane, Luling is flooded."
DIANE DR,"High water in canal going to new Willowdale Blvd, Luling Pump Station"
DOGWOOD DR,"1040 Luling Estate, high water."
DUFRENSE LOOP,"High water 429 Willowdale Blvd, Luling."
E HEATHER DR,"Lakewood Dr, Luling and Coronado Park high water."
E LEVERT DR,"High Water 144 Loupe Street, Luling."
EAST CT,"High water Davis Dr, Luling."
EASY ST,Flooding at 1114 Luling Estates.
ELDERBERRY DR,"Have someone check the 300 block of St. John St., Luling (high water)"
ELLINGTON AVE,"High water on Ivy Lane, Luling. 785-6506."
ELM PL,High water on Milling Ave in Luling.
ELMIRA ST,"High water at 508 Ellington, Luling. 331-9248."
ELVIE ST,"218 Monsanto, Luling High water; wanted barricades."
ENGLE COVE CT,"High water on Kinler St., Luling."
ESPERANZA PLANTATION RD,"High water on Wade St., Luling."
ESTATE DR,"High water on River Oaks Dr, Luling in Mimosa."
EVANGELINE ST,"Report of water leak, flooding his apartment at 827 Milling Ave, Apt 64, Luling. 504-339-2506"
EVELYN DR,"Advised that the streets in Lagatutta, Luling are flooded."
EVERGREEN CT,"Red light on lift station on Post St, Luling just from high water, will go down in time, nothing wrong with station."
FERN DR,"157 Lakewood Dr, Luling High Water No Power"
FLEET RD,"High water 399 Marcia, Luling"
FLOWERWOOD CT,"High water 425 Oak Lane, Luling"
FORD LN,"High water 329 Davis, Luling"
FRANCIS LN,"Advised high water at 157 Lakewood Dr., Luling."
FRANKLIN ST,"600 Diane Street, Luling 785-8160; high water."
FRE'RE ST,"311 Lakewood Dr., Luling 785-6193; high water almost in house."
GARDENIA CT,"Water in residence at 1041 Luling Estates, Yvette Diggs, 785-2744"
GASSEN ST,"121 Wade St, Luling: Water in house."
GAUBERT LN,"425 Oak Lane, Luling, 785-0941, water in his house, has insurance."
GREGORY DR,"Damage report: water in house at 208 Wanda, Luling"
GUS ST,"Damage report: water in house at 218 Wanda, Luling"
HACKBERRY ST,"Damage report: water in house at 222 Wanda, Luling"
HALL ST,"Advised high water on Barton Ave, Luling."
HAWTHORN DR,"Advised high water on LA 18 by Monsanto, Luling"
HIDEAWAY RD,High water on Luling Estates.
HOLY FAMILY LN,"Advised busted water pipe at 126 Lakewood Dr., Luling, Apt. 54 and flooding apartment and neighboring apartment."
HUBCAP CITY LN,"Reported high water off of Willowdale Blvd, Luling. pump station."
HWY 3127,"Advised high water at 203 Maryland Drive, Luling."
HWY 90,"157 Lakewood Dr., Luling 785-2091; Lakewood Dr., Luling is flooded and wants to know if the pump station is working. Advised will have a Public Works representative call her."
I-310 NB,High water in Luling Estates.
I-310 OFF RAMP,"High water complaint 390 Barton Ave., Luling"
I-310 ON RAMP,"High water complaint 148 Browns Lane., Luling"
I-310 SB,"High water complaint 121 Ivy Lane, Luling."
IVY LN,"Front side of Barton Ave, Luling is closed with high water."
JACKIE BEE DR,"Advised that Lakewood Dr., Luling is flooded."
JONES LN,"Advised that Barton Ave, Luling is flooded."
JUDGE EDWARD DUFRESNE PKWY,"Advised street flooding on Ivy Lane, Luling."
KELLOGG DR,"Advised that Santa Cruz Ct, Luling is flooded."
KINLER ST,"Advised flooding on Lakewood Dr., Luling."
LAC BARRE CT,"Advised ditches are flooded at 14 Michael Drive, Luling"
LAC BISTINEAU CT,"Advised flooding on Laurel Court, Luling. Advised that Public Works is checking the pumps in that area."
LAC BORGNE DR,"Advised flooding at 426 Oak Lane, Luling. Advised that Public Works is checking the pumps in that area."
LAC CALCASIEU DR,"Advised flooding on Kellogg Drive, Luling. Advised that Public Works is checking the pumps in that area."
LAC CHICOT DR,"131 West Heather Drive, Luling; street flooded. Advised that Public Works is checking the pumps in that area."
LAC CLAIBORNE CT,"409 River Oaks Dr, Luling Drive; flooding. Advised that Public Works is checking the pumps in that area."
LAC CYPRIERE DR,"Advised high water at 103 Christina Court, Luling. Advised that Public Works has the pumps working."
LAC FELICITY DR,"Advised that Barton Ave, Luling is starting to flood."
LAC IBERVILLE DR,Reported busted water main under driveway near 922 Kinler St. in Luling. He said that water is flooding the street. 504-451-1823.
LAC LAFRENIERE CT,"Reported high water in ditch at 606 Paul Fredrick, Luling. Also reported water bubbling from meter several days ago. 504-559-7754."
LAC LAURIER DR,"Advised that Barton Ave, Luling is flooded between River Road and Union Pacific Railroad tracks."
LAC PALOURDE DR,"Advised that Ivy Lane, Luling is flooded."
LAC PENCHANT DR,Sewer back up and high water complaint 424 Luling Ave.
LAC PETIT CT,Advised; high water in her yard at 135 David Ct. in Luling (985) 785-8915
LAC SAUVAGE DR,"High Water on 212 Monsanto Ave, Luling. (985) 785-9691."
LAC SEGNETTE DR,"Advised; High water on Barton Ave, Luling (985) 785-9605."
LAC VERRET DR,High water complaint on Luling Est. Dr.
LAFAYETTE DR,High water complaint Primrose canal. Luling
LAGATTUTA AVE,Reported street flooding on St. John St. in Luling.
LAKE CAROLYN DR,"Advised, no tornado damage seen by deputy at all. Reported street flooding on Barton Ave. in Luling."
LAKE CATHERINE DR,Reported street flooding on Davis Dr. in Luling.
LAKE SCOTT DR,Reported street flooding on Barton Ave. in Luling.
LAKELAND DR,Reported street flooding on Lakewood Dr. in Luling.
LAKEWOOD DR,Reported street flooding on Davis Dr. in Luling.
LANCE LN,Reported street flooding on Oak Dr. near Primrose in Luling. Canal overflowing.
LAUREL CT,"Reported street flooding on Mimosa Park, near Maryland Dr. in Luling."
LAUVE LN,"Request for barricades on Monsanto and Mimosa Dr., Luling due to street flooding."
LAWRENCE DR,"Request to block off Barton Ave., Luling near Hwy. 90 due to high water."
LISA ROBICHAUX,High water at base of Union Pacific Railroad tracks on Barton Ave. Luling
LIVE OAK LN,"Reporting high water on 400 block of Oak Ln, Luling. Making sure pumps are running."
LONE STAR DR,"Advised high water in 500 block of Cypress in Willowridge, Luling"
LONGVIEW DR,"Advised high water at 406 Oak Ln., Luling 785-8304"
LORI CT,Advised street flooding at 1040 Luling Estates Dr. 985-785-8527
LOUIS THE FIRST ST,"High water at 200 Davis Dr, Luling."
LOUPE ST,"High water at Cathy and Michael Dr., Willowdale, Luling"
LUSSAN LN,"Requesting that Barton Ave, Luling be blocked off because people are driving through water and pushing it up into yards."
MAGNOLIA CT,"High water at Live Oak Ln, Willowridge, Luling"
MANOR RD,"High water at Willowdale Blvd, Luling past pump station near Willowridge."
MARCIA DR,"Advised 200 block of Monsanto, Luling is blocked off due to flooding, and Barton Ave. between the RR tracks and LA-18 is also blocked off"
MARTIN ST,"High water at 200 block of Monsanto, Luling."
MARYLAND DR,"High water at 100 block of Wade St, Luling."
MATTHEW LN,"Street flooding: 16 W. Levert, Luling: 985-331-2187"
MEG LN,Reported 100 block of Oak Ln. in Luling flooded.
MEGAN ST,"street flooding: 430 Willowdale Blvd, Luling.: 785-5287"
MICHAEL DR,Possible water in homes on Wade St.: 114 Wade St. Luling: 985-785-0197
MILLING AVE,"High water, almost to door: 117 Wade St., Luling : 785-5545"
MIMOSA AVE,"High water near 417 Willowdale, Luling"
MONARCH COVE LN,"High water at Ceilia St, Barton Ave, Luling"
MONGRUE ST,"High water in ditches: 340 Davis Dr, Luling."
MONSANTO AVE,"High water: 208 Wanda St, Luling.: 785-2643"
MONTGOMERY DR,High water: 23 W. Levert in Luling: 985-785-6566
MOONLIGHT COVE LN,High water: 30 Chestnut Pl. in Luling: 985-785-2444
MY SONS LN,Reported high water on Lakewood Dr. in Luling.
N OAK CT,"Requesting info on current weather situation. High water in Willowridge, Luling"
NOLA ST,High water on Walnut St. in Luling.
NON SERV ROAD,"Street flooding: 413 River Oaks Dr, Luling: 785-8541"
NORTHLAKE DR,"Street flooding: W. Levert, Luling"
OAK LN,"Requesting barricades at LA 18 & Barton Ave, Luling, Ormond Blvd & Villere is flooded, Ormond Blvd & Hermitage is flooded and Ormond Blvd & Wildcat Lane is flooded with debris."
OLD FERRY INN LN,1040 Luling Estates Drive 785-8527; high water in the street.
OLIVIA DR,"201 St. Charles Boulevard, Luling 308-0152; high water."
PALM PL,"Street flooding on Gassen St, Luling and River Road."
PALMER DR,"High water complaint water in garage 903 Paul Frederick St, Luling."
PATRICIA CT,High water near 109 St. Charles St. in Luling. Requests call from Public Works at 504-559-0471.
PAUL FREDERICK DR,"Reported high water westbound on Hwy. 90 near St. Charles / Jefferson line., Luling"
PAUL MAILLARD RD,"High water, Barton Ave. in Luling."
PENN ST,"High water at 312 Evelyn, Luling"
PERRYL LN,High water on Davis Dr. in Luling.
POST DR,"High water, Barton Ave. in Luling."
PRIMROSE DR,"High water on Gassen St, Luling, especially near River Road"
PURPLE MARTIN DR,"High water at Milling and Sixth, Luling"
